rows,cols,fill,NNZ,threads,timeData,timeTot
3000,3000,0.05,0,2,115,566
3000,3000,0.05,0,4,108,330
3000,3000,0.05,0,6,105,281
3000,3000,0.05,0,8,109,271
3000,3000,0.05,0,10,110,257
3000,3000,0.05,0,12,105,249
3000,3000,0.05,0,14,110,258
3000,3000,0.05,0,16,106,250
3000,3000,0.05,0,18,107,252
3000,3000,0.05,0,20,106,249
3000,3000,0.05,0,22,107,255
3000,3000,0.05,0,24,105,260
3000,3000,0.05,0,26,108,266
3000,3000,0.05,0,28,108,260
3000,3000,0.05,0,30,110,270
3000,3000,0.05,0,32,108,270
3000,3000,0.05,0,34,105,264
3000,3000,0.05,0,36,111,277
3000,3000,0.05,0,38,111,272
3000,3000,0.05,0,40,107,281
3000,3000,0.05,0,42,109,287
3000,3000,0.05,0,44,106,296
3000,3000,0.05,0,46,110,301
3000,3000,0.05,0,48,108,307
3000,3000,0.05,0,50,110,294
3000,3000,0.05,0,52,106,298
3000,3000,0.05,0,54,106,313
3000,3000,0.05,0,56,112,332
3000,3000,0.05,0,58,106,307
3000,3000,0.05,0,60,109,325
3000,3000,0.05,0,62,109,314
3000,3000,0.05,0,64,105,318
3000,3000,0.05,0,66,107,332
3000,3000,0.05,0,68,107,343
3000,3000,0.05,0,70,110,338
3000,3000,0.05,0,72,107,338
3000,3000,0.05,0,74,106,359
3000,3000,0.05,0,76,106,335
3000,3000,0.05,0,78,107,371
3000,3000,0.05,0,80,111,361
