rows,cols,fill,NNZ,threads,timeData,timeTot
1000,1000,0.05,97499,1,12,96
2000,2000,0.05,389928,1,52,479
3000,3000,0.05,877650,1,117,1314
4000,4000,0.05,1560002,1,203,2816
5000,5000,0.05,2437836,1,348,4764
6000,6000,0.05,3509813,1,471,7538
7000,7000,0.05,4777563,1,822,13675
8000,8000,0.05,6239277,1,1059,19576
9000,9000,0.05,7897280,1,1154,23374
10000,10000,0.05,9749983,1,1491,30533
