rows,cols,fill,NNZ,threads,timeData,timeTot
3000,3000,0.05,877450,2,0,43814
3000,3000,0.05,877632,4,0,58682
3000,3000,0.05,877346,6,0,63433
3000,3000,0.05,877570,8,0,65780
3000,3000,0.05,877466,10,0,67182
3000,3000,0.05,877258,12,0,67783
3000,3000,0.05,877651,14,0,68293
3000,3000,0.05,877693,16,0,68468
3000,3000,0.05,877502,18,0,69016
3000,3000,0.05,877499,20,0,69532
3000,3000,0.05,877506,22,0,69769
3000,3000,0.05,877205,24,0,70286
3000,3000,0.05,877216,26,0,69824
3000,3000,0.05,877299,28,0,69859
3000,3000,0.05,877466,30,0,70700
3000,3000,0.05,877298,32,0,69933
3000,3000,0.05,877232,34,0,70218
3000,3000,0.05,877412,36,0,70527
3000,3000,0.05,877453,38,0,70007
3000,3000,0.05,877463,40,0,71728
3000,3000,0.05,877470,42,0,70617
3000,3000,0.05,877659,44,0,71681
3000,3000,0.05,877642,46,0,71456
3000,3000,0.05,877699,48,0,70503
3000,3000,0.05,877395,50,0,71490
3000,3000,0.05,877329,52,0,69733
3000,3000,0.05,877488,54,0,70155
3000,3000,0.05,877563,56,0,70317
3000,3000,0.05,877435,58,0,69438
3000,3000,0.05,877470,60,0,71242
3000,3000,0.05,877420,62,0,70818
3000,3000,0.05,877295,64,0,68864
3000,3000,0.05,877684,66,0,71178
3000,3000,0.05,877736,68,0,71578
3000,3000,0.05,877599,70,0,69528
3000,3000,0.05,877558,72,0,69381
3000,3000,0.05,877529,74,0,70249
3000,3000,0.05,877472,76,0,69475
3000,3000,0.05,877624,78,0,70486
3000,3000,0.05,877495,80,0,70506
