rows,cols,fill,NNZ,threads,timeData,timeTot
3000,3000,0.05,877561,2,108,33677
3000,3000,0.05,877799,4,109,51383
3000,3000,0.05,877612,6,110,58037
3000,3000,0.05,877388,8,110,60752
3000,3000,0.05,877614,10,107,63266
3000,3000,0.05,877220,12,110,64352
3000,3000,0.05,877443,14,106,65190
3000,3000,0.05,877508,16,111,65732
3000,3000,0.05,877516,18,109,65594
3000,3000,0.05,877543,20,114,66728
3000,3000,0.05,877305,22,106,66685
3000,3000,0.05,877417,24,108,67050
3000,3000,0.05,877309,26,105,66794
3000,3000,0.05,877580,28,108,67631
3000,3000,0.05,877460,30,110,68386
3000,3000,0.05,877414,32,105,66354
3000,3000,0.05,877349,34,110,68601
3000,3000,0.05,877847,36,106,68242
3000,3000,0.05,877460,38,106,67629
3000,3000,0.05,877390,40,113,69429
3000,3000,0.05,877663,42,106,69309
3000,3000,0.05,877252,44,111,68912
3000,3000,0.05,877523,46,109,69140
3000,3000,0.05,877628,48,112,68738
3000,3000,0.05,877290,50,111,69326
3000,3000,0.05,877457,52,107,67323
3000,3000,0.05,877707,54,111,68438
3000,3000,0.05,877517,56,107,67947
3000,3000,0.05,877580,58,107,67925
3000,3000,0.05,877525,60,107,69832
3000,3000,0.05,877450,62,105,69205
3000,3000,0.05,877458,64,107,67204
3000,3000,0.05,877514,66,109,68531
3000,3000,0.05,877621,68,107,69247
3000,3000,0.05,877501,70,106,67347
3000,3000,0.05,877362,72,105,67439
3000,3000,0.05,877448,74,109,68306
3000,3000,0.05,877399,76,109,68752
3000,3000,0.05,877478,78,106,68420
3000,3000,0.05,877713,80,108,68415
