rows,cols,fill,NNZ,threads,timeData,timeTot
15000,15000,0.05,0,2,0,154254
15000,15000,0.05,0,4,0,88912
15000,15000,0.05,0,6,0,88834
15000,15000,0.05,0,8,0,83757
15000,15000,0.05,0,10,0,82501
15000,15000,0.05,0,12,0,84240
15000,15000,0.05,0,14,0,84873
15000,15000,0.05,0,16,0,82987
15000,15000,0.05,0,18,0,82339
15000,15000,0.05,0,20,0,81330
15000,15000,0.05,0,22,0,82811
15000,15000,0.05,0,24,0,80838
15000,15000,0.05,0,26,0,80908
15000,15000,0.05,0,28,0,82680
15000,15000,0.05,0,30,0,82310
15000,15000,0.05,0,32,0,82876
15000,15000,0.05,0,34,0,81482
15000,15000,0.05,0,36,0,81067
15000,15000,0.05,0,38,0,81864
15000,15000,0.05,0,40,0,85256
15000,15000,0.05,0,42,0,83019
15000,15000,0.05,0,44,0,83119
15000,15000,0.05,0,46,0,84014
15000,15000,0.05,0,48,0,83771
15000,15000,0.05,0,50,0,84203
15000,15000,0.05,0,52,0,84056
15000,15000,0.05,0,54,0,84802
15000,15000,0.05,0,56,0,84833
15000,15000,0.05,0,58,0,85459
15000,15000,0.05,0,60,0,85966
15000,15000,0.05,0,62,0,84884
15000,15000,0.05,0,64,0,85360
15000,15000,0.05,0,66,0,86895
15000,15000,0.05,0,68,0,86433
15000,15000,0.05,0,70,0,87347
15000,15000,0.05,0,72,0,86177
15000,15000,0.05,0,74,0,86098
15000,15000,0.05,0,76,0,85908
15000,15000,0.05,0,78,0,84742
15000,15000,0.05,0,80,0,84868
