rows,cols,fill,NNZ,threads,timeData,timeTot
500,500,0.05,177159,2,0,26709
500,500,0.05,175995,4,0,15611
500,500,0.05,175719,6,0,16794
500,500,0.05,175419,8,0,18077
500,500,0.05,175046,10,0,17941
500,500,0.05,174980,12,0,18788
500,500,0.05,176795,14,0,18466
500,500,0.05,176944,16,0,17624
500,500,0.05,176834,18,0,18351
500,500,0.05,176637,20,0,16753
500,500,0.05,175721,22,0,18605
500,500,0.05,176579,24,0,18559
500,500,0.05,176287,26,0,16775
500,500,0.05,177396,28,0,17961
500,500,0.05,177863,30,0,18384
500,500,0.05,176488,32,0,18399
500,500,0.05,174882,34,0,18671
500,500,0.05,176099,36,0,19082
500,500,0.05,175413,38,0,17243
500,500,0.05,174970,40,0,18649
500,500,0.05,176111,42,0,19683
500,500,0.05,174645,44,0,18809
500,500,0.05,176777,46,0,20019
500,500,0.05,176338,48,0,18525
500,500,0.05,175997,50,0,16591
500,500,0.05,177392,52,0,18946
500,500,0.05,176951,54,0,18659
500,500,0.05,177839,56,0,20316
500,500,0.05,174882,58,0,19478
500,500,0.05,177262,60,0,18208
500,500,0.05,178160,62,0,16839
500,500,0.05,178886,64,0,20819
500,500,0.05,176815,66,0,19103
500,500,0.05,176835,68,0,19427
500,500,0.05,175649,70,0,17696
500,500,0.05,177098,72,0,21851
500,500,0.05,175460,74,0,20878
500,500,0.05,177358,76,0,19844
500,500,0.05,176594,78,0,19502
500,500,0.05,175857,80,0,18525
