rows,cols,fill,NNZ,threads,time
500,500,0.05,2823,1,49461
500,500,0.05,2880,2,26600
500,500,0.05,3143,3,19556
500,500,0.05,2950,4,16464
500,500,0.05,3263,5,16860
500,500,0.05,3082,6,18122
500,500,0.05,2900,7,18565
500,500,0.05,3119,8,19744
500,500,0.05,2935,9,17981
500,500,0.05,2873,10,17883
