rows,cols,fill,NNZ,threads,timeData,timeTot
1000,1000,0.05,906409,2,0,256229
1000,1000,0.05,902034,4,0,157932
1000,1000,0.05,903846,6,0,153206
1000,1000,0.05,902256,8,0,154538
1000,1000,0.05,909622,10,0,146394
1000,1000,0.05,908657,12,0,149701
1000,1000,0.05,913977,14,0,149759
1000,1000,0.05,906390,16,0,148823
1000,1000,0.05,905685,18,0,151540
1000,1000,0.05,904355,20,0,147375
1000,1000,0.05,911665,22,0,150239
1000,1000,0.05,900619,24,0,154309
1000,1000,0.05,903290,26,0,151318
1000,1000,0.05,907618,28,0,152690
1000,1000,0.05,901617,30,0,151221
1000,1000,0.05,905950,32,0,149698
1000,1000,0.05,915661,34,0,153332
1000,1000,0.05,905587,36,0,158240
1000,1000,0.05,909007,38,0,149611
1000,1000,0.05,904581,40,0,150608
1000,1000,0.05,908865,42,0,157498
1000,1000,0.05,905937,44,0,159803
1000,1000,0.05,904191,46,0,157241
1000,1000,0.05,905302,48,0,160864
1000,1000,0.05,907191,50,0,147628
1000,1000,0.05,906259,52,0,154065
1000,1000,0.05,906084,54,0,156710
1000,1000,0.05,900705,56,0,163009
1000,1000,0.05,905757,58,0,153878
1000,1000,0.05,901077,60,0,164520
1000,1000,0.05,904926,62,0,150016
1000,1000,0.05,911359,64,0,160414
1000,1000,0.05,908436,66,0,158123
1000,1000,0.05,909318,68,0,163605
1000,1000,0.05,906527,70,0,157442
1000,1000,0.05,900155,72,0,170109
1000,1000,0.05,907291,74,0,162312
1000,1000,0.05,913164,76,0,155146
1000,1000,0.05,905327,78,0,169125
1000,1000,0.05,907827,80,0,163141
