rows,cols,fill,NNZ,threads,timeData,timeTot
100,100,0.05,0,1,0,349
200,200,0.05,0,1,0,3009
300,300,0.05,0,1,0,10824
400,400,0.05,0,1,0,26844
500,500,0.05,0,1,0,51915
600,600,0.05,0,1,0,84903
700,700,0.05,0,1,0,151639
800,800,0.05,0,1,0,240006
900,900,0.05,0,1,0,289321
1000,1000,0.05,0,1,0,434445
