rows,cols,fill,NNZ,threads,timeData,timeTot
500,500,0.05,0,2,2,2054
500,500,0.05,0,4,2,2042
500,500,0.05,0,6,2,2011
500,500,0.05,0,8,2,2039
500,500,0.05,0,10,2,2023
500,500,0.05,0,12,2,2037
500,500,0.05,0,14,2,1998
500,500,0.05,0,16,2,2030
500,500,0.05,0,18,2,2059
500,500,0.05,0,20,2,2029
500,500,0.05,0,22,2,2033
500,500,0.05,0,24,2,2057
500,500,0.05,0,26,2,1957
500,500,0.05,0,28,2,1778
500,500,0.05,0,30,2,1647
500,500,0.05,0,32,2,1562
500,500,0.05,0,34,2,1445
500,500,0.05,0,36,2,1366
500,500,0.05,0,38,2,1304
500,500,0.05,0,40,2,1253
500,500,0.05,0,42,2,1184
500,500,0.05,0,44,2,1144
500,500,0.05,0,46,2,1100
500,500,0.05,0,48,2,1100
500,500,0.05,0,50,2,1157
500,500,0.05,0,52,2,1076
500,500,0.05,0,54,2,1044
500,500,0.05,0,56,2,1001
500,500,0.05,0,58,2,972
500,500,0.05,0,60,2,950
500,500,0.05,0,62,2,929
500,500,0.05,0,64,2,864
500,500,0.05,0,66,2,878
500,500,0.05,0,68,2,834
500,500,0.05,0,70,2,829
500,500,0.05,0,72,2,789
500,500,0.05,0,74,2,835
500,500,0.05,0,76,2,844
500,500,0.05,0,78,2,813
500,500,0.05,0,80,2,785
