rows,cols,fill,NNZ,threads,time
100,100,0.05,0,1,334
200,200,0.05,0,1,2984
300,300,0.05,0,1,10959
400,400,0.05,0,1,28528
500,500,0.05,0,1,51070
600,600,0.05,0,1,96515
700,700,0.05,0,1,152660
800,800,0.05,0,1,241948
900,900,0.05,0,1,321909
1000,1000,0.05,0,1,447993
