rows,cols,fill,NNZ,threads,time
500,500,0.05,0,1,52108
500,500,0.05,0,2,26817
500,500,0.05,0,3,20375
500,500,0.05,0,4,16605
500,500,0.05,0,5,16877
500,500,0.05,0,6,17800
500,500,0.05,0,7,17408
500,500,0.05,0,8,18262
500,500,0.05,0,9,18911
500,500,0.05,0,10,17458
