rows,cols,fill,NNZ,threads,timeData,timeTot
1000,1000,0.05,906774,2,10,19929
1000,1000,0.05,907582,4,15,19934
1000,1000,0.05,899270,6,15,19857
1000,1000,0.05,908394,8,10,19955
1000,1000,0.05,901487,10,13,19978
1000,1000,0.05,905364,12,10,19892
1000,1000,0.05,902549,14,12,19900
1000,1000,0.05,901838,16,11,21065
1000,1000,0.05,901772,18,10,19847
1000,1000,0.05,906484,20,11,19912
1000,1000,0.05,905823,22,10,19906
1000,1000,0.05,903973,24,10,19872
1000,1000,0.05,905516,26,10,19948
1000,1000,0.05,909759,28,10,19981
1000,1000,0.05,906207,30,10,19830
1000,1000,0.05,905598,32,12,19919
1000,1000,0.05,900848,34,10,19778
1000,1000,0.05,908046,36,11,19951
1000,1000,0.05,905375,38,10,19798
1000,1000,0.05,909699,40,16,20116
1000,1000,0.05,907979,42,11,19961
1000,1000,0.05,911477,44,11,20024
1000,1000,0.05,908082,46,13,19988
1000,1000,0.05,905922,48,10,19895
1000,1000,0.05,906884,50,15,20020
1000,1000,0.05,912486,52,10,29493
1000,1000,0.05,908836,54,14,36515
1000,1000,0.05,906678,56,11,41477
1000,1000,0.05,907447,58,10,46041
1000,1000,0.05,904714,60,11,49028
1000,1000,0.05,897978,62,10,51022
1000,1000,0.05,904655,64,10,53348
1000,1000,0.05,909402,66,10,55521
1000,1000,0.05,910888,68,10,56610
1000,1000,0.05,899871,70,15,55959
1000,1000,0.05,902638,72,12,56751
1000,1000,0.05,905350,74,12,57229
1000,1000,0.05,914348,76,10,58139
1000,1000,0.05,909068,78,10,57288
1000,1000,0.05,909301,80,10,57204
